trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
84,False,"{'a': 0.5, 'e': 0.6570468198150567}",20,3,-79.57611568545941,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 2}",1
85,False,"{'a': 0.5, 'e': 0.6537697851298473}",30,0,-146.62565575859531,"{0: 21, 1: 3, 2: 2, 3: 1, 4: 3}",0
86,False,"{'a': 0.5, 'e': 0.6505090947233165}",35,7,-91.46832604903523,"{0: 20, 1: 1, 2: 5, 3: 1, 4: 1}",1
87,False,"{'a': 0.5, 'e': 0.6472646670780347}",25,2,-26.957431551613055,"{0: 19, 1: 1, 2: 1, 3: 2, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.6440364210831414}",20,5,-67.04809523725696,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 1}",1
89,False,"{'a': 0.5, 'e': 0.6408242760323187}",25,0,-28.872989235557878,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.6376281516217733}",25,1,-74.76517363818259,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 1}",1
91,False,"{'a': 0.5, 'e': 0.6344479679482282}",30,8,-161.47435428617075,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 4}",1
92,False,"{'a': 0.5, 'e': 0.631283645506926}",20,16,6.687095228872543,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.6281351051896408}",20,0,-39.22282727704588,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.6250022682827008}",20,0,-29.591750286461178,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
95,False,"{'a': 0.5, 'e': 0.62188505646502}",30,17,-69.0645022884554,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 1}",1
96,False,"{'a': 0.5, 'e': 0.6187833918061408}",25,0,-28.665483856798115,"{0: 17, 1: 6, 2: 2, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.6156971967642851}",20,0,-31.981095659180443,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.6126263941844161}",20,4,-52.9680884215575,"{0: 12, 1: 2, 2: 0, 3: 1, 4: 1}",1
99,False,"{'a': 0.5, 'e': 0.6095709072963093}",25,0,-104.86085207240238,"{0: 17, 1: 4, 2: 1, 3: 1, 4: 2}",0
